RegionName,StateName,2015-1,2015-2,2015-3,2015-4,2015-5,2015-6,2015-7,2015-8,2015-9,2015-10,2015-11,2015-12,2016-1,2016-2,2016-3,2016-4,2016-5,2016-6,2016-7,2016-8,2016-9,2016-10,2016-11,2016-12,2017-1,2017-2,2017-3,2017-4,2017-5,2017-6,2017-7,2017-8,2017-9,2017-10,2017-11,2017-12,2018-1,2018-2,2018-3,2018-4,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2,2019-3,2019-4,2019-5,2019-6,2019-7,2019-8,2019-9,2019-10,2019-11
"Savannah, GA",GA,6.51,6.42,6.33,6.7,6.88,7.16,7.34,7.25,6.97,6.79,6.06,5.69,5.78,4.86,4.5,4.4,4.68,4.95,5.6,5.32,5.96,6.15,5.5,5.41,5.14,5.23,4.77,5.05,6.24,7.06,7.43,7.52,8.07,8.17,8.35,8.26,9.08,9.54,9.72,9.91,10,9.82,9.63,8.72,7.8,7.71,7.61,7.89,7.98,8.44,8.53,8.99,8.9,8.62,8.81,9.17,9.27,9.36,9.45
"Ann Arbor, MI",MI,3.21,3.12,3.03,2.94,2.66,2.84,3.49,4.68,5.32,5.78,5.6,5.69,6.06,6.15,5.87,5.5,5.96,6.24,6.33,6.42,6.51,6.61,6.79,7.16,7.06,6.97,6.7,6.88,7.25,7.8,8.07,8.17,8.35,8.62,8.72,8.99,9.17,9.54,9.72,10,9.91,9.82,9.63,9.45,9.36,9.27,9.08,8.9,8.81,8.53,8.44,8.26,7.98,7.89,7.71,7.34,7.52,7.43,7.61
"Ocala, FL",FL,4.22,3.67,4.86,5.32,5.69,5.78,5.5,5.14,3.76,3.94,4.5,5.41,5.6,5.87,5.96,6.06,6.33,6.61,7.52,9.17,9.91,10,9.82,9.27,7.8,7.25,7.16,6.97,6.79,6.42,6.15,6.24,6.51,6.7,6.88,7.34,8.17,8.62,7.89,7.71,7.43,8.72,9.54,9.72,9.63,9.08,8.53,8.44,8.26,8.07,7.98,8.99,9.45,9.36,8.9,8.81,8.35,7.61,7.06
"Kalamazoo, MI",MI,3.94,4.13,3.67,3.3,2.57,2.84,3.39,4.77,4.95,5.5,5.69,5.6,5.41,4.86,4.22,3.85,4.59,5.87,6.33,6.42,6.51,6.61,6.7,6.79,6.88,6.97,7.06,7.16,7.34,7.43,7.52,7.25,7.61,7.71,7.8,7.89,7.98,8.07,8.17,9.08,9.36,10,9.82,9.91,9.54,9.27,9.45,9.63,9.72,9.17,8.99,8.72,8.81,8.9,8.62,8.44,8.26,8.35,8.53
"Naples, FL",FL,9.27,8.99,9.08,9.54,9.72,10,9.91,9.82,9.63,9.17,8.9,8.72,8.62,8.44,7.89,7.43,7.16,6.79,6.42,5.87,5.32,4.13,3.39,3.49,3.58,3.12,2.75,2.11,1.38,0.73,0.92,1.01,1.47,1.28,1.19,1.1,2.29,3.21,5.78,6.97,7.71,7.98,7.52,7.34,7.06,6.88,6.33,6.06,5.6,4.31,2.94,2.57,2.02,2.2,2.39,2.48,1.93,1.74,1.83
"South Bend, IN",IN,2.66,3.58,5.14,5.41,5.32,5.6,5.96,6.15,6.06,5.87,5.5,5.69,5.78,5.23,3.94,3.39,4.95,6.24,6.33,6.42,6.51,6.61,6.7,6.79,6.88,6.97,7.71,8.17,7.98,7.8,7.25,7.16,7.06,7.34,7.43,7.52,7.61,7.89,8.07,8.26,8.62,9.36,9.72,9.54,9.63,9.17,9.45,9.27,9.91,9.82,8.99,8.81,8.72,8.9,8.53,8.44,8.35,9.08,10
"Spartanburg, SC",SC,5.6,5.41,5.23,4.13,3.76,3.85,4.86,5.78,6.06,6.15,5.96,5.69,5.32,5.05,5.14,5.5,5.87,6.24,6.51,6.33,6.42,6.61,6.7,6.88,7.16,7.34,7.06,6.79,6.97,7.25,7.43,7.52,7.8,8.26,8.44,8.53,8.81,9.08,9.27,9.82,10,9.91,9.63,9.17,8.62,7.71,7.61,8.07,8.72,8.99,9.45,9.54,9.72,9.36,8.9,8.17,7.89,7.98,8.35
"Evansville, IN",IN,3.67,3.58,2.57,2.11,1.19,1.93,2.66,4.31,5.5,5.69,5.23,4.4,4.77,4.86,5.78,6.06,6.15,6.51,6.79,6.61,6.97,7.16,6.88,6.42,6.24,6.33,6.7,7.06,7.43,7.52,7.8,7.34,7.61,7.25,7.71,7.89,8.72,9.72,9.82,10,9.91,9.45,8.62,8.44,9.08,9.17,8.99,8.53,8.81,8.35,8.07,8.26,9.27,9.54,9.63,9.36,8.9,8.17,7.98
"Kingsport, TN",TN,1.28,1.93,2.39,2.57,1.65,2.02,2.48,3.67,3.94,4.13,3.49,3.58,4.04,4.31,4.5,4.59,4.95,5.32,5.87,5.5,5.23,5.41,6.15,6.7,7.25,7.16,7.43,6.79,6.51,6.33,6.88,6.42,6.97,7.71,7.8,8.07,7.89,7.98,8.17,8.26,8.9,9.27,9.45,9.63,9.36,9.08,8.62,8.44,8.81,8.72,8.53,8.35,8.99,9.17,9.54,9.72,9.82,9.91,10
"Roanoke, VA",VA,2.75,3.49,4.04,3.67,2.84,2.29,3.12,4.68,4.77,4.31,2.66,2.57,3.03,3.94,5.05,4.59,5.5,6.24,6.97,6.79,6.42,6.51,6.88,7.06,6.61,6.33,6.7,7.16,7.25,7.52,7.71,7.43,7.34,7.61,7.8,7.89,7.98,8.07,8.17,8.53,8.72,8.81,8.35,8.26,8.44,8.62,8.9,8.99,9.08,9.72,9.54,9.17,9.36,9.82,9.91,9.45,9.27,9.63,10
"Green Bay, WI",WI,3.58,3.85,4.31,4.68,5.05,5.14,5.23,5.32,5.41,5.5,5.6,5.69,5.78,5.87,5.96,6.15,6.06,6.24,6.42,6.7,6.97,7.34,7.25,7.06,6.88,6.79,6.51,6.33,6.61,7.16,7.43,7.61,7.71,7.52,7.8,7.89,8.07,9.36,9.72,9.91,10,9.82,9.63,9.45,8.99,9.08,9.17,9.27,8.62,8.26,7.98,8.44,8.35,8.72,8.17,8.53,8.81,8.9,9.54
"Lincoln, NE",NE,4.77,4.68,4.86,5.05,5.96,6.06,5.87,6.42,6.24,5.69,5.41,5.23,4.95,5.6,5.5,5.32,5.14,5.78,6.61,6.33,6.15,6.79,6.51,6.7,6.88,6.97,7.06,7.16,7.52,8.26,8.17,7.8,7.98,8.35,8.72,9.27,9.45,9.54,9.72,9.82,10,9.91,9.63,9.36,9.08,8.62,8.99,9.17,8.9,8.81,8.53,8.44,7.61,7.34,7.71,8.07,7.89,7.43,7.25
"Fort Collins, CO",CO,7.52,7.43,8.53,9.17,9.91,9.54,8.72,7.71,7.25,7.61,8.99,9.45,9.63,8.44,6.7,5.87,5.96,6.42,6.97,7.16,7.8,7.98,8.07,6.61,6.88,8.26,9.08,9.27,8.62,7.06,6.06,5.78,5.23,5.69,5.5,6.33,7.89,8.9,9.72,9.82,10,9.36,8.81,8.35,8.17,6.79,6.15,5.41,4.95,4.86,3.85,4.04,3.76,3.94,3.67,3.58,3.39,3.3,3.12
"Utica, NY",NY,1.47,2.11,1.28,0.92,0.83,0.64,1.65,3.21,4.5,5.14,4.86,3.76,0.28,0.09,0.18,0.73,2.39,2.29,1.83,1.93,3.85,4.04,4.22,4.13,4.59,5.96,7.16,7.34,6.61,6.88,7.52,8.07,8.17,7.89,7.71,7.43,7.61,7.8,8.35,9.08,9.36,9.63,9.54,9.27,8.72,8.99,9.45,9.82,10,9.91,9.72,9.17,8.44,8.53,8.9,8.81,8.62,8.26,7.98
"Columbus, GA",GA,6.06,6.88,7.43,7.71,7.61,7.34,7.16,7.06,6.61,5.41,4.59,4.04,4.22,3.85,3.39,3.21,3.67,4.13,4.95,5.69,5.23,4.68,4.5,5.14,5.78,5.96,4.77,4.4,5.5,6.42,6.51,6.97,7.25,7.52,7.8,7.89,8.07,7.98,8.17,8.26,8.53,8.9,9.08,8.99,8.72,8.62,8.35,8.44,8.81,9.17,9.27,9.45,9.36,9.54,9.63,9.72,9.82,9.91,10
"Boulder, CO",CO,6.88,7.52,7.8,7.98,8.35,8.99,9.63,9.27,9.36,9.45,9.82,10,9.91,9.72,9.54,9.17,8.62,8.44,8.72,8.9,8.53,8.26,7.89,7.61,7.43,7.34,7.16,7.06,6.7,6.61,5.41,5.23,5.14,5.96,6.06,6.51,6.42,6.97,8.07,9.08,8.81,8.17,7.71,7.25,6.79,6.33,6.15,5.5,4.68,4.13,3.94,3.76,3.67,3.39,3.49,3.3,3.03,2.84,2.75
"Lubbock, TX",TX,9.72,10,9.91,9.82,9.63,9.54,8.35,7.43,5.41,4.31,5.6,7.98,8.44,8.07,5.32,5.87,5.14,6.7,7.16,6.24,7.06,6.51,6.33,5.78,5.69,7.34,8.53,8.81,7.61,5.5,5.23,4.4,4.59,4.77,4.95,6.88,7.25,7.89,8.62,9.08,8.9,6.42,4.86,5.05,5.96,6.06,4.13,3.76,3.58,3.39,3.12,3.3,3.67,3.94,4.5,4.22,4.04,4.68,6.79
"Erie, PA",PA,2.84,2.66,2.29,1.93,1.65,0.55,0.92,1.19,3.85,4.95,5.5,7.25,6.42,5.87,4.4,3.3,3.21,2.39,1.83,1.28,1.74,2.2,1.38,0.46,0.18,0.09,0.64,1.47,4.31,6.51,7.43,8.26,6.97,8.07,7.34,6.33,5.05,4.77,3.94,4.68,4.04,5.96,8.17,8.9,8.53,7.61,6.7,7.8,7.16,7.71,6.24,6.88,8.72,9.27,9.91,9.82,9.72,9.63,10
"Fort Smith, AR",AR,5.96,6.42,5.87,5.05,3.58,2.75,1.56,0.46,0.28,1.38,2.39,2.66,3.12,4.13,6.24,6.79,9.08,9.72,8.17,6.7,5.69,3.3,2.84,3.67,4.59,6.15,6.61,6.97,8.62,8.44,7.98,7.43,8.07,8.9,8.99,8.26,7.34,7.25,7.52,7.71,6.88,7.06,7.89,9.17,9.45,9.36,8.72,8.81,9.54,9.91,9.63,8.53,7.61,7.16,7.8,8.35,9.27,9.82,10
"Duluth, MN",MN,3.85,3.94,3.49,3.58,4.04,5.05,5.6,6.24,6.42,6.79,6.88,6.97,6.61,6.15,5.14,4.77,4.86,5.32,5.69,6.06,5.78,5.87,5.96,6.33,6.51,6.7,7.06,7.25,7.8,7.71,7.61,7.43,7.34,7.16,7.52,7.89,8.44,8.72,8.62,8.9,9.27,9.45,9.17,9.36,9.08,8.81,8.35,8.07,7.98,8.17,8.26,8.53,8.99,9.54,9.72,9.63,9.82,9.91,10
"Atlantic City, NJ",NJ,2.66,2.2,2.75,3.03,3.67,3.3,2.39,2.02,1.56,1.65,2.11,3.12,4.5,4.59,4.68,4.22,3.21,2.84,3.85,4.77,5.6,7.06,7.98,8.35,7.8,6.7,5.96,6.97,7.52,7.25,6.79,6.61,7.16,7.61,7.71,7.34,7.43,7.89,8.17,9.36,9.82,10,9.91,9.63,9.17,8.72,8.44,8.07,8.53,8.9,8.81,8.62,8.26,8.99,9.08,9.45,9.27,9.54,9.72
"New London, CT",CT,4.4,4.04,5.69,5.23,4.95,3.85,3.94,5.32,5.78,6.06,5.96,6.15,4.86,4.68,3.67,5.5,5.87,6.33,6.61,6.24,6.42,6.51,6.7,6.79,6.88,6.97,7.06,7.16,7.25,7.34,7.43,7.52,7.61,7.71,7.89,8.35,9.36,9.08,9.63,9.72,10,9.91,9.82,8.44,8.53,8.99,8.72,8.26,8.07,8.81,8.9,8.62,7.8,7.98,8.17,9.54,9.27,9.17,9.45
"San Luis Obispo, CA",CA,2.75,3.76,6.61,7.43,5.6,4.59,3.39,4.31,4.13,5.05,5.32,6.33,7.52,5.96,6.7,6.88,7.61,6.97,7.16,6.24,6.51,6.15,5.41,4.77,4.22,5.78,6.79,7.34,8.26,9.17,9.72,9.54,9.27,8.72,7.89,8.17,8.9,9.08,9.82,10,9.91,9.63,8.44,7.71,5.5,4.5,3.67,4.68,4.86,5.14,4.04,3.94,4.4,4.95,5.87,5.69,6.42,6.06,7.25
"Gainesville, FL",FL,4.59,3.67,3.49,3.76,4.22,3.94,3.12,2.84,2.94,3.3,4.4,5.14,5.32,5.69,5.96,6.06,6.15,6.24,6.51,6.61,6.7,6.42,6.33,6.79,6.88,6.97,7.06,7.16,7.25,7.34,7.43,7.52,7.61,8.07,8.44,8.26,8.17,8.62,9.08,9.72,10,9.91,9.82,9.54,9.17,8.9,8.81,8.72,8.35,7.89,7.71,7.8,7.98,8.53,8.99,9.36,9.45,9.27,9.63
"Santa Cruz, CA",CA,4.04,4.68,6.97,8.53,8.62,8.26,7.06,6.42,6.33,7.8,8.9,9.36,9.45,9.08,8.35,7.98,7.52,7.43,7.34,6.88,6.61,5.41,5.5,4.86,5.23,5.32,6.51,7.25,7.89,8.17,7.61,7.71,8.07,8.72,8.99,9.17,9.54,9.72,9.82,10,9.91,9.63,9.27,8.81,8.44,7.16,5.6,4.59,4.13,3.3,3.03,2.57,2.66,3.21,3.49,3.85,3.76,3.58,3.39
"Clarksville, TN",TN,4.04,4.22,4.31,3.76,3.49,3.21,2.66,3.03,2.48,3.58,4.5,3.67,2.75,2.11,3.3,4.4,5.32,6.24,6.33,6.42,6.51,6.61,6.7,6.88,6.79,6.97,7.06,7.16,7.25,7.34,7.43,7.52,7.61,7.71,7.8,7.89,7.98,8.07,8.44,8.9,9.72,9.82,9.45,8.62,8.35,8.17,8.26,8.53,8.72,8.81,8.99,9.63,10,9.91,9.54,9.08,9.27,9.17,9.36
"Cedar Rapids, IA",IA,4.5,5.05,5.5,5.69,5.96,5.87,5.23,4.59,4.68,5.14,6.06,6.24,6.15,5.78,5.32,4.95,4.86,5.6,6.33,6.42,6.51,6.61,6.79,6.88,6.7,6.97,7.06,7.61,7.89,7.8,7.43,7.16,7.25,7.34,7.52,7.71,7.98,8.07,8.81,9.08,9.27,9.63,9.54,9.72,9.36,8.62,8.26,8.9,9.17,8.99,8.17,8.44,9.82,9.91,10,9.45,8.72,8.35,8.53
"Merced, CA",CA,5.05,4.13,2.39,2.2,2.66,3.67,3.49,3.3,3.03,3.58,4.31,4.86,4.22,2.57,1.47,1.01,1.38,2.48,5.5,6.51,7.25,6.97,6.42,6.15,7.06,8.17,8.99,9.45,9.63,9.08,8.81,8.53,7.98,7.8,7.89,8.26,8.07,8.35,8.9,9.27,9.54,8.62,7.52,6.06,4.77,2.94,1.93,1.19,0.92,0.28,0.18,0.09,0.37,1.74,2.11,1.65,0.83,0.46,0.64
"Wilmington, NC",NC,5.96,5.5,4.31,3.39,3.03,2.66,3.12,3.58,4.22,5.23,5.87,4.86,5.69,6.61,7.98,9.36,9.17,7.25,6.88,6.42,6.06,5.78,5.6,5.32,4.95,4.77,5.05,6.33,6.79,7.06,7.52,8.26,8.81,8.72,8.44,8.9,9.08,8.99,7.61,7.8,7.89,8.62,8.07,8.17,7.71,8.35,7.43,7.16,6.97,7.34,8.53,9.27,9.45,9.54,9.63,9.82,9.91,9.72,10
"Kennewick, WA",WA,4.13,4.4,4.68,4.95,5.05,5.14,5.23,5.32,5.5,5.78,6.51,6.88,7.16,6.79,7.06,7.34,7.43,7.25,6.61,6.33,6.24,6.7,6.42,6.15,5.69,5.96,5.87,5.6,5.41,6.06,6.97,7.8,8.17,8.07,7.98,7.89,8.44,9.17,9.63,9.91,10,9.82,9.72,9.54,9.45,9.36,9.27,9.08,8.81,8.53,8.62,8.99,8.9,8.72,8.35,8.26,7.61,7.71,7.52
"Greeley, CO",CO,8.72,8.81,8.99,9.17,9.54,9.27,8.62,7.43,6.42,6.61,7.06,6.51,5.69,4.95,5.05,5.78,5.96,5.5,5.87,6.24,6.88,7.8,7.71,7.34,6.79,7.89,7.61,6.97,6.7,7.25,7.52,8.07,8.17,8.26,8.44,8.9,9.36,9.63,9.91,10,9.82,9.72,9.45,9.08,8.53,7.98,6.33,6.06,5.14,4.77,4.22,4.31,4.4,4.68,4.59,4.5,4.04,3.85,3.94
"Waco, TX",TX,4.68,4.77,4.86,4.95,5.05,7.16,7.98,6.97,5.69,5.5,6.06,5.78,5.41,5.32,5.96,6.51,6.61,6.7,6.88,7.52,7.89,8.53,9.08,9.54,9.36,9.63,9.91,10,9.27,8.72,8.62,9.45,9.82,9.72,9.17,8.99,8.9,8.81,8.26,8.07,8.35,8.44,8.17,7.43,7.25,7.34,7.06,6.33,6.15,5.87,6.24,6.79,7.8,7.71,7.61,6.42,5.6,5.14,5.23
"Olympia, WA",WA,3.21,2.94,3.49,4.68,5.32,5.41,5.23,5.05,5.14,5.5,5.6,5.69,5.87,6.06,6.33,6.42,6.7,7.06,6.88,6.51,6.61,6.97,6.79,6.15,5.96,5.78,6.24,7.16,7.25,7.34,7.43,7.52,7.61,7.71,7.8,8.26,8.81,9.27,9.72,10,9.82,9.54,9.36,9.08,8.72,8.07,7.89,7.98,8.17,8.53,8.35,8.44,8.62,8.9,8.99,9.17,9.45,9.63,9.91
"Amarillo, TX",TX,6.79,6.24,4.95,3.94,3.85,5.23,6.51,7.71,7.61,8.81,8.62,8.26,5.96,4.68,4.4,7.06,9.17,9.91,9.36,8.17,7.34,6.7,5.05,5.69,6.06,7.8,8.35,8.53,8.72,6.15,4.5,4.22,6.33,7.43,6.97,4.86,5.32,6.61,8.9,9.27,8.99,9.08,9.72,10,9.82,9.63,9.45,9.54,8.44,7.98,5.87,5.5,6.42,7.25,7.16,6.88,7.52,7.89,8.07
"Binghamton, NY",NY,1.01,0.37,0.73,0.92,0.55,0.18,0.46,2.66,5.05,6.15,5.78,5.5,3.94,2.02,1.38,0.64,1.65,2.39,5.14,4.68,4.4,4.95,4.77,5.96,6.24,6.7,6.88,7.34,7.43,7.61,6.97,6.51,6.61,7.25,7.52,7.89,8.07,8.72,8.9,7.71,7.8,8.44,9.08,8.99,8.35,8.26,8.81,9.27,9.17,9.45,9.54,9.63,9.72,9.91,10,9.82,9.36,8.62,7.98
"Hagerstown, WV",MD,2.29,2.48,2.94,2.66,1.74,1.19,1.1,1.47,1.38,1.28,1.65,1.93,2.2,2.39,2.02,0.83,0.28,1.01,2.75,4.5,4.77,5.6,5.41,4.68,4.22,3.76,5.05,6.33,7.16,7.8,7.71,7.34,7.25,6.97,7.43,8.07,8.44,8.17,7.98,7.89,8.26,8.72,8.53,8.35,8.62,8.81,9.54,9.91,10,9.72,9.17,9.36,9.63,9.82,9.45,9.27,9.08,8.99,8.9
"Bremerton, WA",WA,4.4,4.59,4.77,4.95,5.05,5.14,5.23,5.41,5.6,5.5,5.32,5.78,6.15,6.61,6.97,7.06,7.25,6.7,6.24,5.69,5.87,5.96,6.06,6.42,6.33,6.88,6.51,6.79,7.16,7.34,7.8,7.98,7.52,7.43,7.61,8.35,8.81,9.36,9.63,9.82,10,9.91,9.54,8.72,8.44,8.17,8.26,7.89,8.07,7.71,8.53,8.62,9.27,9.17,8.99,8.9,9.08,9.45,9.72
"Laredo, TX",TX,7.71,8.44,6.06,6.7,6.24,9.08,8.9,8.81,8.07,8.26,6.51,4.4,3.39,3.49,4.04,4.95,5.32,5.41,4.86,4.5,4.13,5.69,5.23,5.05,2.57,2.29,2.94,6.88,8.35,7.06,4.77,4.31,5.96,7.16,7.52,6.33,5.87,4.59,3.3,1.38,0.92,2.48,6.79,9.17,9.27,8.62,6.61,3.94,3.21,3.76,5.5,7.61,6.97,6.42,6.15,7.43,7.34,7.98,7.8
"Lynchburg, VA",VA,3.94,3.85,3.21,3.58,3.76,4.31,5.6,5.96,4.59,3.3,3.03,4.13,5.32,6.06,5.87,4.77,4.68,5.78,6.33,6.42,6.79,6.97,7.16,6.88,6.7,6.51,6.61,7.06,7.25,7.34,7.43,7.52,7.61,7.71,7.8,8.07,8.26,8.99,9.54,9.82,10,9.91,9.63,9.45,8.9,8.81,9.27,9.36,8.72,8.35,7.98,7.89,8.17,8.62,9.17,8.53,8.44,9.08,9.72
"Yakima, WA",WA,4.68,4.77,4.86,4.95,5.05,5.14,5.23,5.32,5.5,5.41,5.6,5.69,5.78,5.87,5.96,6.06,6.15,6.24,6.33,6.42,6.51,6.61,6.7,6.79,6.88,6.97,7.16,7.06,7.25,7.34,7.43,7.52,7.61,7.71,7.8,7.89,7.98,8.07,8.17,8.26,8.35,8.62,8.53,8.44,8.72,8.81,8.9,8.99,9.08,9.17,9.27,9.36,9.45,9.54,9.91,10,9.82,9.72,9.63
"Crestview-Fort Walton Beach-Destin, FL",FL,2.84,3.67,3.85,3.58,2.94,3.21,4.22,4.86,5.23,5.32,5.14,4.77,4.5,4.4,4.04,3.76,4.31,4.95,5.69,6.42,7.06,7.25,6.7,6.33,5.96,6.06,6.88,7.71,7.98,7.8,7.16,6.61,6.97,7.43,7.34,7.61,7.89,8.07,8.17,8.44,8.72,9.08,9.27,9.17,8.62,8.9,8.99,8.81,8.35,8.26,8.53,9.36,9.72,9.91,9.54,9.45,9.63,9.82,10
"Topeka, KS",KS,4.86,4.31,3.49,4.22,4.95,5.23,5.69,6.06,5.78,5.41,5.32,5.87,5.96,6.51,6.7,6.97,7.16,6.88,6.61,6.42,6.24,6.15,5.5,5.14,5.6,6.33,6.79,7.43,7.52,7.34,7.06,7.25,7.61,7.71,7.8,7.89,8.17,7.98,8.07,8.35,8.72,8.62,8.26,8.44,8.53,8.81,9.17,9.54,10,9.91,9.82,9.08,8.99,8.9,9.45,9.63,9.27,9.36,9.72
"Macon-Bibb County, GA",GA,4.22,2.84,2.75,3.49,6.24,6.51,5.96,3.76,4.13,5.78,6.06,3.67,2.66,2.48,4.04,5.32,4.77,4.4,4.68,4.5,3.21,2.39,3.85,6.42,6.97,7.16,6.88,7.06,7.25,7.34,7.43,7.52,7.61,7.71,7.8,7.89,8.17,8.62,8.72,8.81,9.17,9.36,9.54,9.91,10,9.63,9.72,9.82,9.45,8.99,8.35,8.44,8.9,9.27,9.08,8.53,8.26,8.07,7.98
"Champaign-Urbana, IL",IL,4.77,5.78,5.6,6.61,6.88,7.52,7.06,6.7,5.87,5.05,5.96,6.15,6.42,6.24,6.51,6.33,5.23,4.68,3.94,4.86,4.95,6.06,5.69,5.14,4.59,5.41,6.79,8.35,9.91,10,8.72,7.71,7.61,8.17,8.26,8.07,7.89,7.34,7.43,6.97,7.16,7.25,8.53,9.17,9.72,9.82,9.63,9.54,8.99,8.62,7.8,7.98,8.44,8.9,9.36,9.27,9.45,9.08,8.81
"Tuscaloosa, AL",AL,3.12,2.11,0.46,0.37,0.64,4.04,5.87,6.51,6.42,6.15,5.6,5.32,4.31,2.57,0.92,1.56,3.39,5.14,6.97,7.98,8.17,7.16,6.61,6.7,7.61,7.52,6.79,6.06,5.5,6.33,6.88,7.8,8.62,8.81,8.53,8.26,7.71,7.25,7.06,7.34,8.44,8.99,9.36,9.54,9.72,9.27,8.9,8.35,8.07,7.43,7.89,8.72,9.17,9.63,10,9.91,9.82,9.45,9.08
"College Station, TX",TX,7.8,8.62,9.36,9.45,9.82,9.27,9.08,8.72,8.9,9.17,9.72,9.54,8.99,7.43,7.34,7.52,8.44,8.26,8.17,7.71,7.98,8.81,9.91,10,9.63,8.35,8.07,7.89,8.53,7.61,7.06,6.88,6.79,7.25,6.51,6.42,6.61,7.16,6.7,6.24,5.78,5.32,5.14,5.41,5.6,5.05,4.5,4.4,4.22,4.13,3.67,3.03,2.66,3.49,4.31,4.86,4.77,4.68,4.59
"Sioux Falls, SD",SD,4.68,5.05,5.87,5.96,6.79,6.61,7.16,7.61,8.72,9.45,9.72,9.91,10,9.82,9.63,9.54,9.36,9.08,8.62,8.07,7.71,7.25,7.06,6.7,6.33,6.24,6.06,6.51,6.88,7.43,7.52,7.8,7.89,8.17,8.35,8.9,8.99,9.27,9.17,8.81,8.53,8.26,8.44,7.98,7.34,6.97,6.42,6.15,5.78,5.69,4.95,4.86,4.77,5.14,5.23,5.32,5.5,5.41,5.6
"Charleston, WV",WV,6.33,3.94,1.93,0.83,1.1,4.04,6.97,7.8,7.16,5.41,5.6,3.49,2.29,0.73,0.37,0.18,0.09,0.28,0.55,1.65,2.66,4.13,3.85,3.03,1.83,2.48,4.5,6.88,5.87,2.57,2.39,2.84,4.4,4.31,4.59,5.96,6.51,7.71,5.69,5.32,4.95,6.24,6.79,7.34,8.07,7.98,7.61,5.05,5.23,7.06,8.26,8.81,9.27,9.08,8.9,8.99,9.36,9.63,9.91
"Appleton, WI",WI,3.94,4.5,4.68,4.95,5.23,5.87,6.15,5.96,5.69,5.14,5.32,5.41,6.06,5.78,5.6,5.05,5.5,6.24,6.33,6.42,6.51,6.97,6.88,7.06,6.7,6.79,6.61,7.16,7.25,7.61,7.52,7.43,7.34,7.71,7.8,7.89,7.98,8.07,8.53,8.99,10,9.91,9.27,9.17,9.45,9.54,9.63,9.08,8.9,8.81,9.36,9.82,9.72,8.72,8.62,8.26,8.35,8.17,8.44
"Chico, CA",CA,4.59,4.31,4.77,4.95,5.6,6.15,5.96,5.87,5.5,5.23,5.05,5.14,5.32,5.41,5.69,5.78,6.06,6.24,6.33,6.51,6.42,6.61,6.7,6.79,6.88,6.97,7.06,7.16,7.25,7.34,7.43,7.52,7.8,7.71,8.07,8.35,8.26,7.89,7.61,7.98,8.17,8.53,8.44,8.62,8.72,8.9,8.99,9.17,9.36,9.72,9.91,10,9.82,9.63,9.54,9.45,9.27,9.08,8.81
"Charlottesville, VA",VA,3.21,4.13,5.5,6.51,6.33,5.23,4.95,5.6,6.15,5.69,5.32,4.4,4.86,4.68,3.58,2.48,2.75,4.22,6.06,5.96,5.87,6.61,6.7,7.61,7.8,7.06,6.97,8.72,9.27,9.17,8.17,7.89,7.25,6.79,6.88,8.07,8.81,9.63,9.72,10,9.91,9.82,9.54,9.45,9.36,9.08,8.9,8.53,7.98,7.34,7.52,8.26,8.62,8.44,7.43,7.16,7.71,8.35,8.99
"Claremont, NH",NH,4.13,3.94,4.04,4.86,6.06,6.61,6.79,5.78,4.95,3.85,3.3,2.66,2.11,2.39,2.57,2.84,3.76,4.4,5.23,4.68,5.32,5.5,6.15,6.42,6.51,6.33,6.24,5.69,5.6,5.87,6.88,7.34,7.61,7.43,7.25,6.97,7.06,7.16,7.52,7.8,8.07,8.81,9.45,8.99,9.27,9.36,8.72,8.53,8.9,9.54,9.17,9.82,9.72,9.08,8.26,7.98,8.17,8.62,9.91
"Barnstable Town, MA",MA,2.84,3.67,4.04,4.77,3.85,5.23,6.24,6.7,6.61,6.42,5.96,5.69,5.41,5.14,3.58,3.12,3.94,5.32,5.6,5.87,6.15,6.33,6.51,6.79,6.88,6.97,7.34,7.89,8.35,8.07,7.71,7.52,7.8,8.17,8.53,8.26,8.81,8.99,9.54,9.72,9.91,10,9.82,9.63,9.45,9.36,9.17,9.27,9.08,8.9,8.72,8.44,8.62,7.98,7.61,7.43,7.25,7.06,7.16
"Longview, TX",TX,5.41,6.7,7.61,7.71,7.25,6.06,5.87,5.78,6.88,6.79,7.06,6.24,4.13,2.02,1.19,0.83,1.56,2.11,3.94,3.21,2.29,2.2,3.03,4.04,4.22,3.58,5.96,6.97,7.8,7.43,6.61,6.15,6.33,6.42,7.34,7.52,7.98,8.07,8.17,8.26,8.35,8.44,8.53,8.62,8.72,8.81,8.9,8.99,9.08,9.17,9.27,9.36,9.45,9.54,9.63,9.72,9.82,9.91,10
"Burlington, VT",VT,5.32,5.6,5.78,3.49,2.75,2.39,4.04,4.22,4.59,5.05,4.86,3.58,2.02,0.64,0.46,0.92,2.48,3.94,4.4,4.95,5.23,6.24,6.7,6.79,6.97,6.88,7.06,7.25,7.52,7.61,7.71,7.89,7.98,7.43,7.16,7.34,8.44,10,9.45,8.26,8.07,8.81,9.27,8.9,9.63,9.82,9.91,9.54,8.17,7.8,8.35,9.08,9.36,8.99,8.72,8.62,8.53,9.17,9.72
